spaceAt(94.355049f, 585.317505f, green)
spaceAt(104.323738f, 559.780151f, green)
spaceAt(114.313919f, 532.638672f, yellow)
spaceAt(124.368561f, 500.684814f, yellow)
spaceAt(129.567810f, 471.874725f, yellow)
spaceAt(133.205887f, 439.834869f, green)
spaceAt(140.009277f, 411.046295f, red)
spaceAt(133.958038f, 383.689911f, red)
spaceAt(123.201828f, 348.248383f, green)
spaceAt(110.862961f, 311.181213f, green)
spaceAt(96.833992f, 280.509094f, green)
spaceAt(86.034805f, 248.275833f, yellow)
spaceAt(84.838974f, 217.775650f, yellow)
spaceAt(99.663063f, 189.094513f, yellow)
spaceAt(125.673172f, 163.772095f, green)
spaceAt(158.056854f, 141.743912f, yellow)
spaceAt(200.194336f, 110.219810f, red)
spaceAt(239.123535f, 78.652740f, red)
spaceAt(292.253632f, 64.924637f, red)
spaceAt(324.046783f, 61.095837f, green)
spaceAt(353.630157f, 59.234993f, green)
spaceAt(387.543884f, 62.537201f, yellow)
spaceAt(416.024170f, 65.035217f, yellow)
spaceAt(437.309662f, 66.640083f, yellow)
spaceAt(458.299774f, 77.588928f, green)
spaceAt(472.664398f, 93.853783f, green)
spaceAt(478.820099f, 111.823013f, red)
spaceAt(486.950592f, 143.135712f, red)
spaceAt(497.465149f, 162.208008f, red)
spaceAt(520.127625f, 175.007156f, yellow)
spaceAt(539.680298f, 172.463089f, yellow)
spaceAt(556.276001f, 165.531677f, red)
spaceAt(570.512634f, 156.362106f, green)
spaceAt(581.760376f, 136.446594f, green)
spaceAt(591.876587f, 124.949898f, red)
spaceAt(601.782837f, 110.617279f, red)
spaceAt(616.050171f, 102.742569f, yellow)
spaceAt(636.955383f, 90.749466f, green)
spaceAt(664.501343f, 85.318642f, green)
spaceAt(686.608398f, 86.181702f, green)
spaceAt(709.648743f, 91.063087f, yellow)
spaceAt(725.643616f, 95.044197f, yellow)
spaceAt(749.569458f, 105.028236f, yellow)
spaceAt(772.238159f, 115.070831f, red)
spaceAt(794.198608f, 129.885208f, red)
spaceAt(818.946350f, 143.612732f, green)
spaceAt(848.021484f, 152.955658f, red)
spaceAt(903.115784f, 152.153320f, yellow)
spaceAt(950.294739f, 141.825928f, yellow)
spaceAt(997.596313f, 121.225853f, red)
spaceAt(1035.515625f, 94.760231f, red)
spaceAt(1075.416016f, 74.482758f, green)
spaceAt(1123.485474f, 58.412476f, yellow)
spaceAt(1166.357178f, 47.417221f, yellow)
spaceAt(1198.822754f, 46.605515f, green)
spaceAt(1241.079468f, 48.635410f, green)
spaceAt(1275.170166f, 57.069534f, red)
spaceAt(1326.886353f, 72.562775f, red)
spaceAt(1358.348267f, 87.454727f, green)
spaceAt(1397.188354f, 107.550705f, green)
spaceAt(1419.857178f, 123.843292f, green)
spaceAt(1447.015747f, 143.758652f, yellow)
spaceAt(1480.759155f, 160.158432f, yellow)
spaceAt(1509.697021f, 167.785324f, red)
spaceAt(1539.211792f, 178.012238f, red)
spaceAt(1557.637451f, 196.700760f, red)
spaceAt(1563.481567f, 221.553619f, yellow)
spaceAt(1559.952759f, 243.197845f, yellow)
spaceAt(1554.320435f, 269.727264f, green)
spaceAt(1535.137573f, 285.458344f, green)
spaceAt(1513.774170f, 292.804962f, green)
spaceAt(1490.229980f, 291.767120f, red)
spaceAt(1472.085083f, 283.954102f, red)
spaceAt(1455.549438f, 268.561218f, green)
spaceAt(1436.532471f, 245.481781f, yellow)
spaceAt(1421.693115f, 229.992035f, yellow)
spaceAt(1399.952026f, 224.766907f, green)
spaceAt(1380.972778f, 238.103836f, green)
spaceAt(1373.857666f, 256.549286f, green)
spaceAt(1380.099121f, 282.400543f, red)
spaceAt(1394.327759f, 305.072723f, red)
spaceAt(1405.357544f, 331.331207f, yellow)
spaceAt(1422.280762f, 353.509155f, red)
spaceAt(1438.913330f, 370.598297f, red)
spaceAt(1463.436035f, 382.812103f, yellow)
spaceAt(1490.159302f, 391.837006f, yellow)
spaceAt(1518.471924f, 404.855469f, yellow)
spaceAt(1540.626587f, 428.525299f, green)
spaceAt(1536.381836f, 460.550476f, green)
spaceAt(1518.855225f, 484.327332f, yellow)
spaceAt(1490.488770f, 503.826324f, red)
spaceAt(1459.223511f, 514.163391f, red)
spaceAt(1418.534790f, 503.618103f, red)
spaceAt(1381.932983f, 483.034607f, red)
spaceAt(1362.728516f, 499.634766f, green)
spaceAt(1364.821411f, 526.393738f, green)
spaceAt(1387.107300f, 553.730225f, yellow)
spaceAt(1414.738281f, 576.411011f, yellow)
spaceAt(1440.271851f, 590.120850f, green)
spaceAt(1478.443848f, 589.901062f, green)
spaceAt(1503.371338f, 584.830200f, green)
spaceAt(1529.939331f, 583.538757f, red)
spaceAt(1556.237183f, 594.042358f, red)
spaceAt(1563.941162f, 622.138733f, yellow)
spaceAt(1558.018433f, 646.987244f, red)
spaceAt(1550.107910f, 687.845215f, green)
spaceAt(1535.540649f, 735.078186f, green)
spaceAt(1527.003540f, 762.195618f, red)
spaceAt(1525.379150f, 790.246765f, yellow)
spaceAt(1530.031372f, 815.922363f, yellow)
spaceAt(1535.626587f, 842.727966f, red)
spaceAt(1532.356079f, 870.878418f, red)
spaceAt(1511.109375f, 881.464417f, red)
spaceAt(1484.812988f, 872.657776f, green)
spaceAt(1464.290894f, 860.397583f, green)
spaceAt(1453.244629f, 838.227173f, green)
spaceAt(1450.740845f, 813.530273f, green)
spaceAt(1447.306763f, 793.909180f, red)
spaceAt(1456.351685f, 762.305176f, red)
spaceAt(1456.158936f, 735.303711f, yellow)
spaceAt(1452.728027f, 713.374817f, yellow)
spaceAt(1436.599487f, 694.889771f, green)
spaceAt(1421.388184f, 680.560059f, yellow)
spaceAt(1395.790283f, 667.369568f, red)
spaceAt(1380.572510f, 657.655396f, green)
spaceAt(1354.752563f, 638.233582f, green)
spaceAt(1331.170166f, 620.761780f, red)
spaceAt(1313.379761f, 599.501465f, red)
spaceAt(1300.989258f, 578.377625f, green)
spaceAt(1290.611450f, 555.625244f, yellow)
spaceAt(1284.697144f, 531.823975f, yellow)
spaceAt(1276.000732f, 513.500549f, yellow)
spaceAt(1266.533569f, 496.335388f, red)
spaceAt(1256.293457f, 477.820160f, red)
spaceAt(1248.755493f, 460.267670f, green)
spaceAt(1251.637939f, 444.636841f, yellow)
spaceAt(1267.453003f, 435.942383f, yellow)
spaceAt(1285.979492f, 440.752197f, yellow)
spaceAt(1303.539551f, 443.247345f, red)
spaceAt(1323.412354f, 442.267731f, green)
spaceAt(1336.905273f, 424.506531f, green)
spaceAt(1340.173218f, 408.296570f, green)
spaceAt(1335.718872f, 386.111023f, green)
spaceAt(1325.926270f, 367.971161f, yellow)
spaceAt(1303.405396f, 355.212036f, red)
